start	end	text
0	2000	哈哈哈哈哈哈
2000	4000	哈哈哈哈哈哈
4000	6000	三点了
6000	8000	那快睡觉走啊 明天早起还有十二呢
8000	10000	快
12000	13000	你能睡着吗
13000	16000	闭嘴快睡 明天绝对不能吃早 只能睡四个小时了
16000	18000	我有办法了
18000	20000	诶 你干嘛去
20000	22000	你穿着衣服干啥
22000	24000	穿着衣服睡 早上起来直接走能多睡吗
24000	30000	一个了
30000	32000	我把早餐含嘴里 早上醒来吃能多睡十分钟
36000	38000	我把豆腐含嘴里 夜里磨牙
38000	40000	早上起来直接喝豆浆
40000	42000	能多睡十五分钟
42000	44000	嗯 你在干嘛
44000	46000	睡前把妆化保鲜膜上
46000	48000	第二天一贴直接全装出门多睡一小时
54000	56000	睡前做好发型 不压到头发 多睡半小时
62000	64000	睡前穿好鞋 第二天直接出门 多睡三分钟
66000	68000	你这还是不行啊
68000	70000	那还能怎么省吗
70000	72000	这里开始时间 睡醒时间
72000	74000	这些给你安心啊
80000	82000	七点了
82000	84000	该起了
84000	86000	件事情 ещё来
86000	88000	蹼跃
88000	90000	🎵
90000	92640	夜里せ et
92640	94000	夜里セ
94000	96000	夜里 car
96000	98000	cer
98000	100000	卡
100000	102000	ر
102000	103000	夜里
103000	104000	夜里
104000	105000	夜里
105000	106000	夜里
106000	107000	夜里
107000	108000	夜里
108000	109000	夜里
109000	110000	夜里
110000	111000	夜里
111000	112000	夜里
112000	113000	夜里
113000	114000	夜里
