start	end	text
600	3740	Cho em một lý do để em ra đi không đắn đầu
3740	6980	Tình yêu như mùi rau khứa cắt vào em rồi
6980	10320	Đau lòng lắm anh ngờ, em không kể nơi thành
10320	13980	Chỉ biết rằng yêu anh, em trao hết cả niềm tin
13980	17740	Ngày đang nói rồi sao anh không cần em khi xưa anh đã chết lỗi lùng
17740	19600	Nó yêu em để rồi giờ em vô lời
19600	21100	Thành người ai em tóc anh
21100	24460	Họa qua rồi thú kia sáng lá sáng qua gió đình em nhớ em không
24460	26880	Người thân nhớ thì sao em vô bên đời
26880	31180	Giá như em là người vô tâm, chẳng yêu hãy đến phút cuối
31180	34540	Giá như em là người vô tâm, chẳng yêu hãy đến phút cuối
34540	37240	Vì em đã không một phút vì vớt mắt em gửi người
37240	41280	Nếu như em là người vô tâm, thì em sẽ không cần mất mất
41280	44600	Em cứ cứ, em cứ đi, em cứ đến bên người ta
44600	47920	Nếu em là một châu trôi, thì ta chẳng còn gì để đôi
47920	51260	Em yêu em không phải vì bất cứ nghĩ ra gì, em chẳng hỏi bỏ
51260	54840	Lối đi em giờ chẳng cần em, thì em cũng sẽ cơ mà
54840	57060	Nếu em đã không muốn gì, em sẽ đáp át
57060	57840	Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn
57840	58340	Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn
58340	58840	Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn
